trial,preprocess,pca_dim,model,params_json,mean_cv_accuracy,std_cv_accuracy,cv_folds_used
0,standard_pca,32.0,logistic,"{""C"": 10.0}",0.8690000000000001,0.013285330255586404,5
0,standard_pca,32.0,logistic,"{""C"": 100.0}",0.8685,0.014456832294800976,5
0,standard_pca,32.0,linear_svm,"{""C"": 0.01}",0.849,0.009300537618869136,5
0,standard_pca,32.0,linear_svm,"{""C"": 0.1}",0.86,0.014577379737113254,5
0,standard_pca,32.0,linear_svm,"{""C"": 1.0}",0.8605,0.014949916387726064,5
0,standard_pca,32.0,linear_svm,"{""C"": 10.0}",0.8585,0.01847971861257634,5
0,standard_pca,32.0,linear_svm,"{""C"": 100.0}",0.858,0.019326148090087716,5
0,standard_pca,32.0,knn,"{""n_neighbors"": 1, ""weights"": ""uniform""}",0.8845000000000001,0.011113055385446421,5
0,standard_pca,32.0,knn,"{""n_neighbors"": 1, ""weights"": ""distance""}",0.8845000000000001,0.011113055385446421,5
0,standard_pca,32.0,knn,"{""n_neighbors"": 3, ""weights"": ""uniform""}",0.891,0.013095800853708787,5
0,standard_pca,32.0,knn,"{""n_neighbors"": 3, ""weights"": ""distance""}",0.8950000000000001,0.013038404810405309,5
0,standard_pca,32.0,knn,"{""n_neighbors"": 5, ""weights"": ""uniform""}",0.8865000000000001,0.0118953772533703,5
0,standard_pca,32.0,knn,"{""n_neighbors"": 5, ""weights"": ""distance""}",0.8925000000000001,0.014916433890176304,5
0,standard_pca,32.0,knn,"{""n_neighbors"": 7, ""weights"": ""uniform""}",0.8835000000000001,0.016248076809271927,5
0,standard_pca,32.0,knn,"{""n_neighbors"": 7, ""weights"": ""distance""}",0.8895,0.01698528775146302,5
0,standard_pca,32.0,knn,"{""n_neighbors"": 11, ""weights"": ""uniform""}",0.8765000000000001,0.02095232683975698,5
0,standard_pca,32.0,knn,"{""n_neighbors"": 11, ""weights"": ""distance""}",0.8805,0.023790754506740654,5
0,standard_pca,64.0,logistic,"{""C"": 0.01}",0.8734999999999999,0.013095800853708773,5
0,standard_pca,64.0,logistic,"{""C"": 0.1}",0.8775000000000001,0.011726039399558552,5
0,standard_pca,64.0,logistic,"{""C"": 1.0}",0.8785000000000001,0.013379088160259659,5
0,standard_pca,64.0,logistic,"{""C"": 10.0}",0.8785000000000001,0.013472193585307468,5
0,standard_pca,64.0,logistic,"{""C"": 100.0}",0.8795,0.012980754985747146,5
0,standard_pca,64.0,linear_svm,"{""C"": 0.01}",0.869,0.010198039027185548,5
0,standard_pca,64.0,linear_svm,"{""C"": 0.1}",0.874,0.015215124054702923,5
0,standard_pca,64.0,linear_svm,"{""C"": 1.0}",0.875,0.01440486029088793,5
0,standard_pca,64.0,linear_svm,"{""C"": 10.0}",0.8595,0.011554220008291361,5
0,standard_pca,64.0,linear_svm,"{""C"": 100.0}",0.8585,0.012103718436910226,5
0,standard_pca,64.0,knn,"{""n_neighbors"": 1, ""weights"": ""uniform""}",0.8854999999999998,0.01913112646970896,5
0,standard_pca,64.0,knn,"{""n_neighbors"": 1, ""weights"": ""distance""}",0.8854999999999998,0.01913112646970896,5
0,standard_pca,64.0,knn,"{""n_neighbors"": 3, ""weights"": ""uniform""}",0.8905,0.012083045973594567,5
0,standard_pca,64.0,knn,"{""n_neighbors"": 3, ""weights"": ""distance""}",0.8940000000000001,0.022394195676558704,5
0,standard_pca,64.0,knn,"{""n_neighbors"": 5, ""weights"": ""uniform""}",0.893,0.01528070678993614,5
0,standard_pca,64.0,knn,"{""n_neighbors"": 5, ""weights"": ""distance""}",0.8969999999999999,0.019261360284258226,5
0,standard_pca,64.0,knn,"{""n_neighbors"": 7, ""weights"": ""uniform""}",0.8879999999999999,0.014352700094407337,5
0,standard_pca,64.0,knn,"{""n_neighbors"": 7, ""weights"": ""distance""}",0.891,0.015937377450509244,5
0,standard_pca,64.0,knn,"{""n_neighbors"": 11, ""weights"": ""uniform""}",0.8744999999999999,0.015280706789936122,5
0,standard_pca,64.0,knn,"{""n_neighbors"": 11, ""weights"": ""distance""}",0.8825000000000001,0.015165750888103104,5
0,standard_pca,128.0,logistic,"{""C"": 0.01}",0.881,0.015378556499229706,5
0,standard_pca,128.0,logistic,"{""C"": 0.1}",0.8815,0.012708265027138836,5
0,standard_pca,128.0,logistic,"{""C"": 1.0}",0.8805,0.01238951169336386,5
0,standard_pca,128.0,logistic,"{""C"": 10.0}",0.8805,0.013360389215887373,5
0,standard_pca,128.0,logistic,"{""C"": 100.0}",0.8800000000000001,0.01151086443322134,5
0,standard_pca,128.0,linear_svm,"{""C"": 0.01}",0.8699999999999999,0.012845232578665114,5
0,standard_pca,128.0,linear_svm,"{""C"": 0.1}",0.86,0.008803408430829494,5
0,standard_pca,128.0,linear_svm,"{""C"": 1.0}",0.8470000000000001,0.010049875621120911,5
0,standard_pca,128.0,linear_svm,"{""C"": 10.0}",0.8355,0.014611639196202472,5
0,standard_pca,128.0,linear_svm,"{""C"": 100.0}",0.8324999999999999,0.017320508075688756,5
0,standard_pca,128.0,knn,"{""n_neighbors"": 1, ""weights"": ""uniform""}",0.8785000000000001,0.024010414407085928,5
0,standard_pca,128.0,knn,"{""n_neighbors"": 1, ""weights"": ""distance""}",0.8785000000000001,0.024010414407085928,5
0,standard_pca,128.0,knn,"{""n_neighbors"": 3, ""weights"": ""uniform""}",0.884,0.021307275752662534,5
0,standard_pca,128.0,knn,"{""n_neighbors"": 3, ""weights"": ""distance""}",0.8915,0.02507987240796891,5
0,standard_pca,128.0,knn,"{""n_neighbors"": 5, ""weights"": ""uniform""}",0.8789999999999999,0.017578395831246926,5
0,standard_pca,128.0,knn,"{""n_neighbors"": 5, ""weights"": ""distance""}",0.8869999999999999,0.02002498439450077,5
0,standard_pca,128.0,knn,"{""n_neighbors"": 7, ""weights"": ""uniform""}",0.8714999999999999,0.013564659966250541,5
0,standard_pca,128.0,knn,"{""n_neighbors"": 7, ""weights"": ""distance""}",0.8805,0.01983683442487737,5
0,standard_pca,128.0,knn,"{""n_neighbors"": 11, ""weights"": ""uniform""}",0.8675,0.009354143466934844,5
0,standard_pca,128.0,knn,"{""n_neighbors"": 11, ""weights"": ""distance""}",0.875,0.009617692030835658,5
0,standard_pca,256.0,logistic,"{""C"": 0.01}",0.8805,0.012186057606953937,5
0,standard_pca,256.0,logistic,"{""C"": 0.1}",0.8835000000000001,0.013095800853708773,5
0,standard_pca,256.0,logistic,"{""C"": 1.0}",0.8835000000000001,0.014628738838327807,5
0,standard_pca,256.0,logistic,"{""C"": 10.0}",0.884,0.012308533625091166,5
0,standard_pca,256.0,logistic,"{""C"": 100.0}",0.883,0.010535653752852729,5
0,standard_pca,256.0,linear_svm,"{""C"": 0.01}",0.8585,0.004636809247747849,5
0,standard_pca,256.0,linear_svm,"{""C"": 0.1}",0.8405000000000001,0.00871779788708135,5
0,standard_pca,256.0,linear_svm,"{""C"": 1.0}",0.804,0.008746427842267928,5
0,standard_pca,256.0,linear_svm,"{""C"": 10.0}",0.785,0.012349089035228461,5
0,standard_pca,256.0,linear_svm,"{""C"": 100.0}",0.7825,0.010606601717798212,5
0,standard_pca,256.0,knn,"{""n_neighbors"": 1, ""weights"": ""uniform""}",0.8625,0.01942935922772546,5
