config_key,preprocess,model,pca_dim,noise_sigma,mean_test_accuracy,std_test_accuracy
standard_pca|logistic|64,standard_pca,logistic,64.0,0.3,0.21650000000000003,0.07919595949289335
standard_pca|logistic|64,standard_pca,logistic,64.0,0.4,0.1735,0.049497474683058304
standard|knn|none,standard,knn,,0.0,0.8665,0.002121320343559605
standard|knn|none,standard,knn,,0.1,0.6845,0.1668772003600252
standard|knn|none,standard,knn,,0.2,0.31525000000000003,0.18844395718621496
standard|knn|none,standard,knn,,0.3,0.14425,0.05833630944789017
standard|knn|none,standard,knn,,0.4,0.10800000000000001,0.009899494936611668
standard|linear_svm|none,standard,linear_svm,,0.0,0.85025,0.0060104076400856596
standard|linear_svm|none,standard,linear_svm,,0.1,0.25125000000000003,0.11773327906756018
standard|linear_svm|none,standard,linear_svm,,0.2,0.16725,0.04419417382415922
standard|linear_svm|none,standard,linear_svm,,0.3,0.14100000000000001,0.04242640687119286
standard|linear_svm|none,standard,linear_svm,,0.4,0.1225,0.014849242404917497
standard|logistic|none,standard,logistic,,0.0,0.8815,0.006363961030678894
standard|logistic|none,standard,logistic,,0.1,0.62675,0.1651094334070589
standard|logistic|none,standard,logistic,,0.2,0.39249999999999996,0.10818733752154173
standard|logistic|none,standard,logistic,,0.3,0.2715,0.0770746391493337
standard|logistic|none,standard,logistic,,0.4,0.19675,0.04702260094890542
